,municipio,Cod_mun,departamento,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
158,Quetzaltenango,901,Quetzaltenango,147968.002,150333.672,152743.441,155162.912,157558.524,159897.61,162200.383,164486.254,166723.125,168879.747,170925.861
159,Quezada,2217,Jutiapa,29627.0721,10379.4636,20612.9437,21056.6129,21518.5135,21990.8494,22478.7071,22987.1974,23508.4573,24034.6304,24557.7853
160,Quezaltepeque,2009,Chiquimula,26382.342,26651.1739,26936.5722,27232.2906,27532.3479,27831.0217,28131.5133,28436.8453,28741.4529,29040.0388,29327.5733
161,Rabinal,1503,Baja Verapaz,35124.3422,35679.9478,36266.6191,36874.4469,37493.866,38115.6067,38744.7895,39386.3305,40031.1324,40670.4229,41295.7352
162,Raxruhá,1617,Alta Verapaz,0,32657,33629.9993,34623.003,35630.9954,36651.0006,37685.0013,38734.9982,39795.9954,40866.0011,41938.0043
163,Retalhuleu,1101,Retalhuleu,83452.263,85003.028,86595.924,88211.938,89832.492,91439.147,93043.72,94657.609,96262.644,97840.96,99375.049
164,Río Blanco,1228,San Marcos,5468.07731,5538.84289,5612.33591,5686.45686,5759.19602,5828.62913,5896.07293,5962.78635,6026.89061,6086.59179,6140.17748
165,Rio Bravo,1020,Suchitepéquez,20073.3946,20403.3645,20742.5576,21086.8957,21432.4119,21775.2548,22117.7039,22461.9475,22804.1971,23140.7828,23468.1559
166,Rio Hondo,1903,Zacapa,17764.4359,17870.6392,17999.1454,18142.5134,18293.5892,18445.4135,18602.2947,18768.4062,18936.918,19101.2216,19254.9456
167,Sacapulas,1416,Quiché,45228.6125,46279.4499,47347.9455,48428.4678,49515.5773,50604.0357,51695.649,52792.1141,53888.3249,54979.3823,56060.5838
168,Salamá,1501,Baja Verapaz,54398.5264,55372.5232,56398.5724,57461.5904,58546.8273,59639.9234,60748.9322,61881.6561,63023.902,64161.885,65282.197
